Area_id,area,area_title,occ_title,tot_emp,h_mean,a_mean
1,1,Alabama,Management Occupations,"73,860",52.73,"109,680"
2,2,Alaska,Management Occupations,"19,780",52.55,"109,310"
3,4,Arizona,Management Occupations,"168,480",50.45,"104,940"
4,5,Arkansas,Management Occupations,"62,780",43.58,"90,640"
5,6,California,Management Occupations,"996,830",65.31,"135,840"
6,8,Colorado,Management Occupations,"116,770",63.34,"131,750"
7,9,Connecticut,Management Occupations,"117,110",68.46,"142,390"
8,10,Delaware,Management Occupations,"18,810",67.42,"140,240"
9,11,District of Columbia,Management Occupations,"86,690",71.96,"149,680"
10,12,Florida,Management Occupations,"400,230",52.58,"109,360"
11,13,Georgia,Management Occupations,"248,840",56.69,"117,910"
12,15,Hawaii,Management Occupations,"34,040",51.68,"107,490"
13,16,Idaho,Management Occupations,"40,470",39.68,"82,530"
14,17,Illinois,Management Occupations,"453,460",55.57,"115,580"
15,18,Indiana,Management Occupations,"143,700",47.6,"99,020"
16,19,Iowa,Management Occupations,"83,890",48.35,"100,560"
17,20,Kansas,Management Occupations,"62,660",50.2,"104,420"
18,21,Kentucky,Management Occupations,"87,530",45.32,"94,270"
19,22,Louisiana,Management Occupations,"82,620",47.91,"99,650"
20,23,Maine,Management Occupations,"35,630",46.37,"96,440"
21,24,Maryland,Management Occupations,"163,380",62.85,"130,730"
22,25,Massachusetts,Management Occupations,"294,490",64.38,"133,910"
23,26,Michigan,Management Occupations,"198,270",55.53,"115,490"
24,27,Minnesota,Management Occupations,"171,250",56.83,"118,200"
25,28,Mississippi,Management Occupations,"56,330",39.19,"81,510"
26,29,Missouri,Management Occupations,"123,150",51.64,"107,410"
27,30,Montana,Management Occupations,"16,490",43.93,"91,370"
28,31,Nebraska,Management Occupations,"51,410",47.11,"97,990"
29,32,Nevada,Management Occupations,"63,600",54.81,"114,010"
30,33,New Hampshire,Management Occupations,"38,350",58.07,"120,780"
31,34,New Jersey,Management Occupations,"208,980",72.61,"151,040"
32,35,New Mexico,Management Occupations,"36,630",47.57,"98,940"
33,36,New York,Management Occupations,"482,770",74.95,"155,900"
34,37,North Carolina,Management Occupations,"191,090",59.24,"123,220"
35,38,North Dakota,Management Occupations,"22,590",47.72,"99,260"
36,39,Ohio,Management Occupations,"240,570",53.68,"111,650"
37,40,Oklahoma,Management Occupations,"84,300",47.93,"99,680"
38,41,Oregon,Management Occupations,"114,040",50.29,"104,610"
39,42,Pennsylvania,Management Occupations,"253,290",60.48,"125,800"
40,44,Rhode Island,Management Occupations,"20,900",66.35,"138,020"
41,45,South Carolina,Management Occupations,"89,190",49.57,"103,100"
42,46,South Dakota,Management Occupations,"11,870",51.5,"107,120"
43,47,Tennessee,Management Occupations,"169,830",47.59,"98,980"
44,48,Texas,Management Occupations,"551,410",58.35,"121,360"
45,49,Utah,Management Occupations,"103,300",45.32,"94,260"
46,50,Vermont,Management Occupations,"16,170",47.11,"97,990"
47,51,Virginia,Management Occupations,"173,960",67.45,"140,300"
48,53,Washington,Management Occupations,"165,590",61.23,"127,360"
49,54,West Virginia,Management Occupations,"30,780",43.12,"89,690"
50,55,Wisconsin,Management Occupations,"126,060",53.95,"112,210"
51,56,Wyoming,Management Occupations,"12,420",47.65,"99,120"
52,1,Alabama,Business and Financial Operations Occupations,"74,370",34.47,"71,700"
53,2,Alaska,Business and Financial Operations Occupations,"12,800",37.04,"77,040"
54,4,Arizona,Business and Financial Operations Occupations,"149,110",32.59,"67,780"
55,5,Arkansas,Business and Financial Operations Occupations,"50,330",30.27,"62,950"
56,6,California,Business and Financial Operations Occupations,"1,021,960",40.05,"83,310"
57,8,Colorado,Business and Financial Operations Occupations,"190,330",37.87,"78,780"
58,9,Connecticut,Business and Financial Operations Occupations,"90,490",40.98,"85,240"
59,10,Delaware,Business and Financial Operations Occupations,"28,070",37.91,"78,850"
60,11,District of Columbia,Business and Financial Operations Occupations,"104,720",47.43,"98,650"
61,12,Florida,Business and Financial Operations Occupations,"460,150",32.96,"68,560"
62,13,Georgia,Business and Financial Operations Occupations,"242,400",35.06,"72,920"
63,15,Hawaii,Business and Financial Operations Occupations,"28,450",34.1,"70,930"
64,16,Idaho,Business and Financial Operations Occupations,"26,520",30.64,"63,730"
65,17,Illinois,Business and Financial Operations Occupations,"335,360",36.35,"75,600"
66,18,Indiana,Business and Financial Operations Occupations,"117,830",31.63,"65,800"
67,19,Iowa,Business and Financial Operations Occupations,"70,240",31.64,"65,810"
68,20,Kansas,Business and Financial Operations Occupations,"69,610",32.78,"68,190"
69,21,Kentucky,Business and Financial Operations Occupations,"73,690",30.06,"62,520"
70,22,Louisiana,Business and Financial Operations Occupations,"70,270",29.68,"61,730"
71,23,Maine,Business and Financial Operations Occupations,"24,390",32.17,"66,920"
72,24,Maryland,Business and Financial Operations Occupations,"167,260",39.52,"82,200"
73,25,Massachusetts,Business and Financial Operations Occupations,"205,570",41.34,"85,980"
74,26,Michigan,Business and Financial Operations Occupations,"211,500",34.41,"71,580"
75,27,Minnesota,Business and Financial Operations Occupations,"164,510",35.45,"73,740"
76,28,Mississippi,Business and Financial Operations Occupations,"32,100",29.23,"60,800"
77,29,Missouri,Business and Financial Operations Occupations,"138,940",33.25,"69,160"
78,30,Montana,Business and Financial Operations Occupations,"20,840",29.66,"61,700"
79,31,Nebraska,Business and Financial Operations Occupations,"49,690",31.65,"65,830"
80,32,Nevada,Business and Financial Operations Occupations,"49,270",32.99,"68,620"
81,33,New Hampshire,Business and Financial Operations Occupations,"28,620",35.45,"73,730"
82,34,New Jersey,Business and Financial Operations Occupations,"238,750",41.29,"85,890"
83,35,New Mexico,Business and Financial Operations Occupations,"35,850",32.34,"67,260"
84,36,New York,Business and Financial Operations Occupations,"571,050",45.55,"94,740"
85,37,North Carolina,Business and Financial Operations Occupations,"218,230",36.02,"74,930"
86,38,North Dakota,Business and Financial Operations Occupations,"17,770",31.82,"66,190"
87,39,Ohio,Business and Financial Operations Occupations,"281,060",33.9,"70,520"
88,40,Oklahoma,Business and Financial Operations Occupations,"72,370",31.14,"64,780"
89,41,Oregon,Business and Financial Operations Occupations,"91,030",34.65,"72,080"
90,42,Pennsylvania,Business and Financial Operations Occupations,"282,660",35.96,"74,800"
91,44,Rhode Island,Business and Financial Operations Occupations,"28,320",37.47,"77,940"
92,45,South Carolina,Business and Financial Operations Occupations,"75,560",31.07,"64,640"
93,46,South Dakota,Business and Financial Operations Occupations,"19,690",30.51,"63,470"
94,47,Tennessee,Business and Financial Operations Occupations,"127,220",30.93,"64,340"
95,48,Texas,Business and Financial Operations Occupations,"595,260",37.25,"77,480"
96,49,Utah,Business and Financial Operations Occupations,"76,290",31.09,"64,670"
97,50,Vermont,Business and Financial Operations Occupations,"15,190",32.82,"68,270"
98,51,Virginia,Business and Financial Operations Occupations,"274,770",40.92,"85,110"
99,53,Washington,Business and Financial Operations Occupations,"217,510",38.73,"80,560"
100,54,West Virginia,Business and Financial Operations Occupations,"23,050",30.04,"62,480"
101,55,Wisconsin,Business and Financial Operations Occupations,"141,750",31.51,"65,540"
102,56,Wyoming,Business and Financial Operations Occupations,"8,510",33.34,"69,360"
103,1,Alabama,Computer and Mathematical Occupations,"41,560",40.53,"84,290"
